Operation,ansible-galaxy,apk,apt,brew,bun,bundler,cabal,cards,cargo,composer,conan,conda,cpan,cpanm,deno,dnf,docker,dotnet,emerge,eopkg,gem,go,gradle,hatch,helm,leiningen,luarocks,mamba,maven,mix,nix,npm,nuget,opam,pacman,pdm,pip,pipenv,pkg,pkgcon,pkgtools,pnpm,podman,poetry,ports,pub,rbenv,rebar3,rustup,slackpkg,slapt-get,smart,snap,stack,terraform,urpmi,uv,xbps,yarn,yum,zypper
Install package,ansible-galaxy install [role],N/A,apt install [package],brew install [formula],bun install,bundle install,cabal install [package],cards install [package],cargo install [package],composer install,conan install [package],conda install [package],cpan [module],cpanm [module],deno install [package],dnf install [package],N/A,N/A,emerge [package],eopkg install [package],gem install [package],go install [package],N/A,N/A,helm install [name] [chart],lein install,luarocks install [rock],mamba install [package],mvn install,N/A,nix profile install [package],npm install [package],N/A,opam install [package],pacman -S [package],pdm install,pip install [package],pipenv install [package],pkg install [package],pkcon install [package],installpkg [package],pnpm add [package],N/A,poetry install,cd /usr/ports/category/port && make install clean,N/A,rbenv install [version],N/A,rustup toolchain install [toolchain],slackpkg install [package],slapt-get --install [package],smart install [package],snap install [package],stack install [package],N/A,urpmi [package],uv pip install [package],xbps-install [package],yarn add [package],yum install [package],zypper install [package]
Uninstall,N/A,N/A,N/A,brew uninstall [formula],N/A,N/A,N/A,N/A,cargo uninstall [package],N/A,N/A,N/A,N/A,cpanm -U [module],deno uninstall [package],N/A,N/A,N/A,emerge -aC [package],N/A,gem uninstall [package],N/A,N/A,N/A,helm uninstall [name],N/A,N/A,N/A,N/A,N/A,N/A,npm uninstall [package],N/A,N/A,N/A,N/A,pip uninstall [package],pipenv uninstall [package],N/A,N/A,N/A,pnpm remove [package],N/A,N/A,N/A,N/A,rbenv uninstall [version],N/A,rustup toolchain uninstall [toolchain],N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv pip uninstall [package],N/A,yarn remove [package],N/A,N/A
Update packages,N/A,apk update,apt update,brew update,bun update [package],bundle update [gem],cabal update,cards sync,cargo update [package],composer update [package],N/A,conda update [package],cpan -r,N/A,N/A,dnf update,N/A,N/A,emerge --sync,eopkg upgrade [package],gem update [package],N/A,N/A,N/A,N/A,N/A,N/A,mamba update [package],N/A,N/A,N/A,npm update [package],N/A,opam update,pacman -Sy,pdm update [package],N/A,pipenv update [package],pkg update,pkcon refresh,N/A,pnpm update [package],N/A,poetry update [package],portsnap fetch update,N/A,N/A,rebar3 update,rustup update,slackpkg update,slapt-get --update,smart update,snap refresh [package],stack update,N/A,urpmi.update -a,N/A,xbps-install -u [package],yarn upgrade [package],yum update [package],zypper update
Search,ansible-galaxy search [query],apk search [query],apt search [query],brew search [query],N/A,N/A,N/A,cards search [query],cargo search [query],composer search [query],conan search [query],conda search [query],cpan -a [query],N/A,N/A,dnf search [query],docker search [query],N/A,emerge --search [query],eopkg search [query],gem search [query],N/A,N/A,N/A,helm search [query],N/A,luarocks search [query],mamba search [query],N/A,N/A,nix search [query],npm search [query],N/A,opam search [query],pacman -Ss [query],pdm search [query],pip search [query],N/A,pkg search [query],pkcon search name [query],N/A,pnpm search [query],podman search [query],poetry search [query],cd /usr/ports && make search name=[query],N/A,N/A,N/A,N/A,slackpkg search [query],slapt-get --search [query],smart search [query],snap find [query],N/A,N/A,urpmq [query],N/A,xbps-query -Rs [query],yarn info [package],yum search [query],zypper search [query]
Show info,ansible-galaxy info [role],apk info [package],N/A,brew info [formula],bun info [package],bundle show [gem],cabal info [package],cards info [package],cargo info [package],N/A,conan info [package],conda info,cpan -D [module],cpanm --info [module],deno info,dnf info [package],docker info,N/A,emerge --info [package],eopkg info [package],gem info [package],N/A,N/A,N/A,N/A,N/A,N/A,mamba info,N/A,N/A,N/A,npm info [package],N/A,opam info [package],pacman -Si [package],pdm info,pip show [package],N/A,pkg info [package],pkcon get-details [package],cat /var/log/packages/[package],pnpm view [package],podman info,N/A,cd /usr/ports/category/port && make showconfig,N/A,N/A,N/A,N/A,slackpkg info [package],slapt-get --show [package],smart info [package],snap info [package],N/A,N/A,urpmq -i [package],N/A,xbps-query -R [package],yarn info [package],yum info [package],zypper info [package]
List installed,ansible-galaxy list,apk list,apt list,brew list,N/A,bundle list,cabal list [package],cards list,N/A,N/A,N/A,conda list,N/A,N/A,N/A,dnf list,N/A,dotnet list package,qlist -Iv,eopkg list-installed,gem list,go list,N/A,N/A,helm list,N/A,luarocks list,mamba list,N/A,N/A,nix profile list,npm list,dotnet nuget list source,opam list,pacman -Q,pdm list,pip list,N/A,pkg info,pkcon get-packages,ls /var/log/packages/,pnpm list,N/A,N/A,pkg_info,N/A,N/A,N/A,rustup toolchain list,ls /var/log/packages/,slapt-get --installed,smart query --installed,snap list,N/A,N/A,rpm -qa,uv pip list,xbps-query -l,yarn list,yum list,zypper list-updates
List global packages,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Show outdated,N/A,N/A,N/A,brew outdated,bun outdated,bundle outdated,cabal outdated,N/A,N/A,composer outdated,N/A,N/A,N/A,N/A,deno outdated,N/A,N/A,N/A,N/A,N/A,gem outdated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm outdated,N/A,N/A,N/A,pdm outdated,pip list --outdated,N/A,N/A,N/A,N/A,pnpm outdated,N/A,N/A,N/A,dart pub outdated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,yarn outdated,N/A,N/A
Initialize project,ansible-galaxy init [role],N/A,N/A,N/A,bun init,bundle init,cabal init,N/A,cargo init,composer init,N/A,N/A,N/A,N/A,deno init,N/A,N/A,N/A,N/A,N/A,N/A,N/A,gradle init,hatch init,N/A,N/A,N/A,N/A,N/A,N/A,N/A,npm init,N/A,opam init,N/A,pdm init,N/A,N/A,N/A,N/A,N/A,pnpm init,N/A,poetry init,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,stack init,terraform init,N/A,uv init,N/A,yarn init,N/A,N/A
Add dependency to manifest,N/A,apk add [package],N/A,N/A,bun add [package],bundle add [gem],N/A,N/A,cargo add [package],N/A,N/A,N/A,N/A,N/A,deno add [package],N/A,N/A,dotnet add package [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dotnet nuget add source [url],N/A,N/A,pdm add [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,poetry add [package],N/A,dart pub add [package],N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,uv add [package],N/A,N/A,N/A,N/A
